bucket_15m,site_id,vo,activity,records,energy_wh,cfp_g,work,ncores
2025-11-19 23:00:00,site_f5bcf8a88a,vo_25dce71054,grid,1,23.0010625,0.8280382499999999,44671.99999999999,128
2025-11-19 23:30:00,site_f5bcf8a88a,vo_25dce71054,grid,2,44.13389062500001,1.5888200625000002,89472,256
2025-11-19 23:45:00,site_f5bcf8a88a,vo_25dce71054,grid,1,21.33509375,0.7680633749999999,33536,128
2025-11-20 00:00:00,site_f5bcf8a88a,vo_25dce71054,grid,1,20.8646171875,0.75112621875,43904,128
2025-11-20 00:15:00,site_f5bcf8a88a,vo_25dce71054,grid,1,19.543132812500005,0.7035527812500002,45311.999999999985,128
2025-11-20 00:30:00,site_f5bcf8a88a,vo_25dce71054,grid,3,57.142359375,2.0571249375,132096,384
2025-11-20 00:45:00,site_f5bcf8a88a,vo_25dce71054,grid,4,78.51150000000001,2.826414,161920,512
2025-11-20 01:00:00,site_f5bcf8a88a,vo_25dce71054,grid,6,117.07165104166667,4.2145794375,242265.60000000003,704
2025-11-20 01:15:00,site_f5bcf8a88a,vo_25dce71054,grid,6,126.56650520833334,4.5563941875000005,226688,640
2025-11-20 01:30:00,site_f5bcf8a88a,vo_25dce71054,grid,6,133.8148576388889,4.817334875,222310.4,640
2025-11-20 01:30:00,site_e726c7cce5,vo_5d1b978761,grid,2,55.25139149305555,1.98905009375,25566.967741935485,64
2025-11-20 01:45:00,site_f5bcf8a88a,vo_25dce71054,grid,9,181.32539583333335,6.527714250000001,330163.2,1024
2025-11-20 02:00:00,site_f5bcf8a88a,vo_25dce71054,grid,18,367.65974913194447,13.23575096875,676000,1792
2025-11-20 02:15:00,site_f5bcf8a88a,vo_25dce71054,grid,12,230.79447569444443,8.308601125,492646.4,1408
2025-11-20 02:30:00,site_f5bcf8a88a,vo_25dce71054,grid,29,554.6880121527778,19.9687684375,1100211.2,3072
2025-11-20 02:45:00,site_f5bcf8a88a,vo_25dce71054,grid,28,521.4300442708334,18.771481593750003,1119744,3072
2025-11-20 03:00:00,site_f5bcf8a88a,vo_25dce71054,grid,45,836.3998888888889,30.110396000000005,1742252.8,4672
2025-11-20 03:15:00,site_f5bcf8a88a,vo_25dce71054,grid,35,696.2027491319445,25.063298968750004,1345472,3648
2025-11-20 03:30:00,site_f5bcf8a88a,vo_25dce71054,grid,67,1187.9314956597223,42.76553384375,2621984,7488
2025-11-20 03:30:00,site_ad3433ffac,vo_5d1b978761,grid,27,848.452099826389,30.544275593750005,609643.8857142858,2292
2025-11-20 03:30:00,site_e726c7cce5,vo_5d1b978761,grid,15,613.1688051215277,22.074076984374997,263101.05069124425,640
2025-11-20 03:45:00,site_f5bcf8a88a,vo_25dce71054,grid,75,1277.2887230902777,45.98239403125,2966579.2,8704
2025-11-20 04:00:00,site_f5bcf8a88a,vo_25dce71054,grid,79,1364.3310729166665,49.11591862499999,3109785.6,8512
2025-11-20 04:15:00,site_f5bcf8a88a,vo_25dce71054,grid,95,1617.5945034722222,58.23340212500001,3601203.2,9920
2025-11-20 04:15:00,site_ad3433ffac,vo_5d1b978761,grid,1,16.692890625,0.6009440625000001,12288,32
2025-11-20 04:30:00,site_f5bcf8a88a,vo_25dce71054,grid,97,1585.7339262152777,57.086421343750004,3895577.5999999996,10752
2025-11-20 04:30:00,site_ad3433ffac,vo_5d1b978761,grid,1,8.83431423611111,0.31803531249999994,16934.4,64
2025-11-20 04:30:00,site_e726c7cce5,vo_5d1b978761,grid,1,12.591852864583332,0.45330670312499993,14641.548387096775,32
2025-11-20 04:45:00,site_f5bcf8a88a,vo_25dce71054,grid,114,1851.9452421874998,66.67002871875,4287955.199999999,12544
2025-11-20 04:45:00,site_e726c7cce5,vo_5d1b978761,grid,3,35.87624348958333,1.2915447656249999,36938.32258064517,96
2025-11-20 05:00:00,site_f5bcf8a88a,vo_25dce71054,grid,105,1699.9901154513893,61.19964415625002,3838233.6000000006,11008
2025-11-20 05:00:00,site_ad3433ffac,vo_5d1b978761,grid,2,19.472322916666666,0.701003625,38180.57142857143,128
2025-11-20 05:00:00,site_e726c7cce5,vo_5d1b978761,grid,3,34.04132335069444,1.2254876406250002,43404.3870967742,96
2025-11-20 05:15:00,site_f5bcf8a88a,vo_25dce71054,grid,103,1639.1418862847224,59.00910790625001,3682880,10176
2025-11-20 05:30:00,site_f5bcf8a88a,vo_25dce71054,grid,102,1684.1774644097218,60.63038871875,3821798.4,10432
2025-11-20 05:45:00,site_f5bcf8a88a,vo_25dce71054,grid,150,2312.470288194444,83.248930375,5467558.4,16640
2025-11-20 05:45:00,site_ad3433ffac,vo_5d1b978761,grid,1,4.2800234375,0.15408084375,32896.00000000001,128
2025-11-20 05:45:00,site_f5bcf8a88a,vo_5d1b978761,grid,2,9.017352430555555,0.3246246875,66355.20000000001,128
2025-11-20 06:00:00,site_f5bcf8a88a,vo_25dce71054,grid,99,1570.349454861111,56.532580374999995,3663219.1999999997,10624
2025-11-20 06:00:00,site_ad3433ffac,vo_5d1b978761,grid,6,37.48676215277778,1.3495234375,121994.97142857143,416
2025-11-20 06:00:00,site_e726c7cce5,vo_5d1b978761,grid,1,29.401495225694443,1.058453828125,12857.806451612905,32
2025-11-20 06:00:00,site_f5bcf8a88a,vo_5d1b978761,grid,2,8.0107421875,0.28838671875,64768,256
2025-11-20 06:15:00,site_f5bcf8a88a,vo_25dce71054,grid,157,2539.835099826389,91.43406359375001,6011110.399999999,17600
2025-11-20 06:15:00,site_ad3433ffac,vo_5d1b978761,grid,2,18.83401736111111,0.6780246249999999,34280.22857142857,128
2025-11-20 06:15:00,site_e726c7cce5,vo_5d1b978761,grid,6,116.36481163194443,4.189133218749999,81489.40092165899,224
2025-11-20 06:15:00,site_f5bcf8a88a,vo_5d1b978761,grid,1,8.195867187500001,0.29505121875,43008,128
2025-11-20 06:30:00,site_f5bcf8a88a,vo_25dce71054,grid,220,3506.963562500001,126.25068825000001,8737388.8,25088
2025-11-20 06:30:00,site_ad3433ffac,vo_5d1b978761,grid,9,106.57724652777776,3.8367808749999996,156273.3714285714,608
2025-11-20 06:30:00,site_e726c7cce5,vo_5d1b978761,grid,20,203.85037803819446,7.338613609375,278964.49769585254,672
2025-11-20 06:30:00,site_f5bcf8a88a,vo_5d1b978761,grid,5,12.471631944444445,0.44897875,64511.99999999999,384
2025-11-20 06:45:00,site_f5bcf8a88a,vo_25dce71054,grid,99,1576.2434184027777,56.744763062500006,3697836.8,11008
2025-11-20 06:45:00,site_ad3433ffac,vo_5d1b978761,grid,40,245.13483940972225,8.824854218750001,829198.6285714286,3168
2025-11-20 06:45:00,site_e726c7cce5,vo_5d1b978761,grid,50,476.7935698784722,17.164568515625,734357.4060829493,1808
2025-11-20 06:45:00,site_f5bcf8a88a,vo_5d1b978761,grid,15,25.834721354166668,0.9300499687499999,510912,1664
2025-11-20 07:00:00,site_f5bcf8a88a,vo_25dce71054,grid,84,1321.2313333333332,47.564328,3198028.8,9536
2025-11-20 07:00:00,site_ad3433ffac,vo_5d1b978761,grid,44,102.72811458333334,3.6982121249999995,973787.4285714286,2880
2025-11-20 07:00:00,site_e726c7cce5,vo_5d1b978761,grid,45,228.10300390625002,8.211708140625,759884.5758525345,2192
2025-11-20 07:00:00,site_f5bcf8a88a,vo_5d1b978761,grid,108,135.40532118055555,4.8745915625,4156953.5999999996,11968
2025-11-20 07:15:00,site_f5bcf8a88a,vo_25dce71054,grid,98,1596.097144965278,57.45949721875,3832908.8,11136
2025-11-20 07:15:00,site_ad3433ffac,vo_5d1b978761,grid,69,315.59374131944446,11.3613746875,1469965.7142857143,4296
2025-11-20 07:15:00,site_e726c7cce5,vo_5d1b978761,grid,188,529.8580881076389,19.074891171875,2987074.7015668196,7760
2025-11-20 07:15:00,site_f5bcf8a88a,vo_5d1b978761,grid,189,177.69255642361114,6.39693203125,7215116.800000001,21056
2025-11-20 07:30:00,site_f5bcf8a88a,vo_25dce71054,grid,72,1091.2525130208332,39.28509046875,2829875.2,8512
2025-11-20 07:30:00,site_ad3433ffac,vo_5d1b978761,grid,10,79.65738975694444,2.8676660312499997,211510.85714285716,736
2025-11-20 07:30:00,site_e726c7cce5,vo_5d1b978761,grid,11,117.3056605902778,4.22300378125,153612.2455299539,400
2025-11-20 07:30:00,site_f5bcf8a88a,vo_5d1b978761,grid,3,12.936437499999998,0.4657117499999999,119168,384
2025-11-20 07:45:00,site_f5bcf8a88a,vo_25dce71054,grid,73,1133.2778012152776,40.79800084375,2690144,7744
2025-11-20 07:45:00,site_ad3433ffac,vo_5d1b978761,grid,10,64.35428559027777,2.3167542812499997,212525.7142857143,800
2025-11-20 07:45:00,site_e726c7cce5,vo_5d1b978761,grid,48,384.2638064236111,13.833497031249998,703431.691797235,1712
2025-11-20 07:45:00,site_f5bcf8a88a,vo_5d1b978761,grid,16,64.71223784722223,2.3296405625,609088,1856
2025-11-20 08:00:00,site_f5bcf8a88a,vo_25dce71054,grid,69,1130.2551571180554,40.689185656250004,2665811.2,7872
