job_id,series_id,site_id,dispatch_time,start_time,end_time,energy_wh,cfp_g,deadline_met,rationale,status
real-000000,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-19T23:00:00+00:00,2025-11-19T23:00:00+00:00,2025-11-19T23:15:00+00:00,23.0010625,0.82803825,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000001,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-19T23:30:00+00:00,2025-11-19T23:30:00+00:00,2025-11-19T23:45:00+00:00,44.13389063,1.58882006,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000002,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-19T23:45:00+00:00,2025-11-19T23:45:00+00:00,2025-11-20T00:00:00+00:00,21.33509375,0.76806337,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000003,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T00:00:00+00:00,2025-11-20T00:00:00+00:00,2025-11-20T00:15:00+00:00,20.86461719,0.75112622,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000004,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T00:15:00+00:00,2025-11-20T00:15:00+00:00,2025-11-20T00:30:00+00:00,19.54313281,0.70355278,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000005,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T00:30:00+00:00,2025-11-20T00:30:00+00:00,2025-11-20T00:45:00+00:00,57.14235937,2.05712494,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000006,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T00:45:00+00:00,2025-11-20T00:45:00+00:00,2025-11-20T01:00:00+00:00,78.5115,2.826414,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000007,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T01:00:00+00:00,2025-11-20T01:00:00+00:00,2025-11-20T01:15:00+00:00,117.07165104,4.21457944,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000008,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T01:15:00+00:00,2025-11-20T01:15:00+00:00,2025-11-20T01:30:00+00:00,126.56650521,4.55639419,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000009,site_e726c7cce5,site_e726c7cce5,2025-11-20T01:30:00+00:00,2025-11-20T01:30:00+00:00,2025-11-20T01:45:00+00:00,55.25139149,1.98905009,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000010,site_f5bcf8a88a,site_e726c7cce5,2025-11-20T01:30:00+00:00,2025-11-20T01:30:00+00:00,2025-11-20T01:45:00+00:00,55.25139149,1.98905009,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000011,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T01:45:00+00:00,2025-11-20T01:45:00+00:00,2025-11-20T02:00:00+00:00,181.32539583,6.52771425,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000012,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T02:00:00+00:00,2025-11-20T02:00:00+00:00,2025-11-20T02:15:00+00:00,367.65974913,13.23575097,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000013,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T02:15:00+00:00,2025-11-20T02:15:00+00:00,2025-11-20T02:30:00+00:00,230.79447569,8.30860112,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000014,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T02:30:00+00:00,2025-11-20T02:30:00+00:00,2025-11-20T02:45:00+00:00,554.68801215,19.96876844,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000015,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T02:45:00+00:00,2025-11-20T02:45:00+00:00,2025-11-20T03:00:00+00:00,521.43004427,18.77148159,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000016,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T03:00:00+00:00,2025-11-20T03:00:00+00:00,2025-11-20T03:15:00+00:00,836.39988889,30.110396,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000017,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T03:15:00+00:00,2025-11-20T03:15:00+00:00,2025-11-20T03:30:00+00:00,696.20274913,25.06329897,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000018,site_ad3433ffac,site_e726c7cce5,2025-11-20T03:30:00+00:00,2025-11-20T03:30:00+00:00,2025-11-20T03:45:00+00:00,613.16880512,22.07407698,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000019,site_e726c7cce5,site_e726c7cce5,2025-11-20T03:30:00+00:00,2025-11-20T03:30:00+00:00,2025-11-20T03:45:00+00:00,613.16880512,22.07407698,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000020,site_f5bcf8a88a,site_e726c7cce5,2025-11-20T03:30:00+00:00,2025-11-20T03:30:00+00:00,2025-11-20T03:45:00+00:00,613.16880512,22.07407698,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000021,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T03:45:00+00:00,2025-11-20T03:45:00+00:00,2025-11-20T04:00:00+00:00,1277.28872309,45.98239403,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000022,site_f5bcf8a88a,site_f5bcf8a88a,2025-11-20T04:00:00+00:00,2025-11-20T04:00:00+00:00,2025-11-20T04:15:00+00:00,1364.33107292,49.11591862,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000023,site_ad3433ffac,site_ad3433ffac,2025-11-20T04:15:00+00:00,2025-11-20T04:15:00+00:00,2025-11-20T04:30:00+00:00,16.69289063,0.60094406,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000024,site_f5bcf8a88a,site_ad3433ffac,2025-11-20T04:15:00+00:00,2025-11-20T04:15:00+00:00,2025-11-20T04:30:00+00:00,16.69289063,0.60094406,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000025,site_ad3433ffac,site_ad3433ffac,2025-11-20T04:30:00+00:00,2025-11-20T04:30:00+00:00,2025-11-20T04:45:00+00:00,8.83431424,0.31803531,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
real-000026,site_e726c7cce5,site_ad3433ffac,2025-11-20T04:30:00+00:00,2025-11-20T04:30:00+00:00,2025-11-20T04:45:00+00:00,8.83431424,0.31803531,True,"test_policy: lowest current carbon, intentionally ignores site whitelist",done
